CustomerID,CustomerName,Email
Cus1,John Doe,john@example.com
Cus2,Jane Smith,jane@example.com
Cus3,Bob Johnson,bob@example.com
Cus4,Alice Brown,alice@example.com
Cus5,Charlie Davis,charlie@example.com
Cus6,Arjun Mehta,arjun@example.com
Cus7,Sanya Singh,sanya@example.com
Cus8,Rohan Sharma,rohan@example.com
Cus9,Priya Patel,priya@example.com
Cus10,Vivek Nair,vivek@example.com
Cus11,Anjali Deshmukh,anjali@example.com
Cus12,Karan Khanna,karan@example.com
Cus13,Nisha Rao,nisha@example.com
Cus14,Akash Gupta,akash@example.com
Cus15,Divya Menon,divya@example.com
Cus16,Abhay Mandal,abhay@example.com
